# SPDX-FileCopyrightText: 2026 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,monogastric_protein_mt_dm,ruminant_protein_mt_dm,ruminant_roughage_mt_dm
AFG,0.0,0.0,6.237727
AGO,0.0,0.0,0.953605
ARE,0.0,0.0,1.420044
ARM,0.0,0.0,0.922101
ATG,0.0,0.0,0.001203
AZE,0.0,0.0,1.662069
BFA,0.0,0.0,2.411562
BHS,0.0,0.0,0.000236
BOL,0.0,0.0,3.075799
BRA,0.0,0.0,3.839674
BRB,0.0,0.0,0.001186
BRN,0.0,0.0,0.098271
BTN,0.0,0.0,0.032456
BWA,0.0,0.0,0.802482
CAF,0.0,0.0,3.155123
CHL,0.0,0.0,1.162286
CHN,28.388809,8.937976,0.0
CMR,0.0,0.0,2.121751
COG,0.0,0.0,0.101736
COL,0.0,0.0,4.931624
COM,0.0,0.0,0.023563
CPV,0.0,0.0,0.014816
CRI,0.0,0.0,0.443159
CUB,0.0,0.0,0.474546
CYP,0.0,0.0,0.026106
DJI,0.0,0.0,0.253119
DOM,0.0,0.0,0.71456
DZA,0.0,0.0,6.99306
ECU,0.0,0.0,0.894241
EGY,0.0,0.0,7.179396
ERI,0.0,0.0,0.647305
ETH,0.0,0.0,3.636078
GEO,0.0,0.0,0.293941
GNB,0.0,0.0,0.082908
GRD,0.0,0.0,0.003329
GTM,0.0,0.0,0.910001
HND,0.0,0.0,0.341236
HTI,0.0,0.0,0.566936
IDN,7.109229,2.778974,0.0
IND,0.0,0.0,271.445404
IRL,0.0,0.0,0.339501
ISL,0.0,0.0,0.030581
ISR,0.0,0.0,1.114141
JAM,0.0,0.0,0.181489
JOR,0.0,0.0,0.909004
JPN,2.12998,1.221458,0.840733
KEN,0.0,0.0,8.584062
KOR,2.644532,0.374992,2.653688
LBN,0.0,0.0,0.255606
LBY,0.0,0.0,0.792407
LSO,0.0,0.0,0.093449
MAR,0.0,0.0,5.507055
MEX,0.0,0.0,2.645034
MLT,0.0,0.0,0.002164
MNE,0.0,0.0,0.002312
MNG,0.0,0.0,15.404708
MRT,0.0,0.0,2.101939
NAM,0.0,0.0,0.696465
NER,0.0,0.0,1.701596
NIC,0.0,0.0,1.290574
NLD,0.0,0.0,0.127664
NPL,0.0,0.0,15.771791
NZL,0.0,0.72952,0.0
OMN,0.0,0.0,1.601246
PAK,0.0,0.0,165.825562
PAN,0.0,0.0,0.335627
PER,0.0,0.0,0.787619
PRI,0.0,0.0,0.093587
PRY,0.0,0.0,0.141068
PSE,0.0,0.0,0.253243
RWA,0.0,0.0,0.380564
SAU,0.0,0.0,3.205279
SDN,0.0,0.0,11.685175
SEN,0.0,0.0,0.837235
SOM,0.0,0.0,5.321078
SSD,0.0,0.0,3.616797
STP,0.0,0.0,0.002251
SWZ,0.0,0.0,0.169062
SYR,0.0,0.0,1.266434
TCD,0.0,0.0,25.873646
TJK,0.0,0.0,0.244887
TKM,0.0,0.0,0.703879
TLS,0.0,0.0,0.067249
TTO,0.0,0.0,0.006879
TUN,0.0,0.0,1.232911
TUR,0.0,0.0,1.584007
TZA,0.0,0.0,9.584529
UGA,0.0,0.0,3.512526
URY,0.0,0.0,2.43542
VEN,0.0,0.0,3.763423
YEM,0.0,0.0,3.183109
ZAF,0.0,0.0,5.450819
ZMB,0.0,0.0,2.936051
ZWE,0.0,0.0,10.678904
