country,correction_bnusd_per_mha
AFG,-1.2568029394977032e-09
AGO,-0.38175541162490845
ALB,0.2821366563439369
ARE,-0.0
ARG,-0.1626625955104828
ARM,-0.0
ATG,0.5434374809265137
AUS,-0.007254642900079489
AUT,1.9287877073281834e-08
AZE,2.151376485824585
BDI,-0.49372752010822296
BEL,-1.087708989544467e-08
BEN,6.949596405029297
BFA,3.2343448400497437
BGD,7.488898992538452
BGR,-0.11784368380904198
BHS,2.9853759464515406e-09
BIH,-0.45404621958732605
BLR,4.7709485251345995e-09
BLZ,-0.7399452030658722
BOL,-0.10991496965289116
BRA,-0.5024394392967224
BRB,2.0518646240234375
BRN,7.123982906341553
BTN,-0.23783066868782043
BWA,-0.0
CAF,1.5021680344062815e-08
CAN,-0.18614614009857178
CHE,-0.11390797048807144
CHL,0.044102770276367664
CHN,-0.0
CIV,-0.3212580531835556
CMR,4.021297216415405
COD,-0.7531084418296814
COG,-0.8099571466445923
COL,-0.7618194818496704
COM,7.527132250828572e-10
CPV,-0.0
CRI,-0.04483989253640175
CUB,-0.17072640359401703
CYP,0.6898880004882812
CZE,-0.2163601964712143
DEU,-0.2564624920487404
DJI,-0.0
DNK,1.6436050534248352
DOM,-1.9360668623846777e-08
DZA,-0.01046320516616106
ECU,-0.15514633804559708
EGY,-0.0
ERI,-0.04836294800043106
ESP,0.4707661420106888
EST,-0.2668096274137497
ETH,4.816265830598354e-09
FIN,3.7864540815353394
FJI,-0.8967128396034241
FRA,0.41986416280269623
GAB,-0.8222549855709076
GBR,-0.07848266512155533
GEO,-3.5550570265385772e-09
GHA,-0.5436393022537231
GIN,-0.08296290040016174
GMB,2.8291149139404297
GNB,2.630489945411682
GNQ,-0.710965096950531
GRC,-0.06972215697169304
GRD,1.7150232791900635
GTM,5.162934524349794e-09
GUF,-0.9834447503089905
GUY,-1.1011639833450317
HND,-0.6275273263454437
HRV,-0.17365571111440659
HTI,1.2459450360324809e-08
HUN,-0.4085644632577896
IDN,-0.498519703745842
IND,2.1424232721328735
IRL,-1.1858245052565053e-08
IRN,-0.0
IRQ,-0.0
ISL,-0.0925741009414196
ISR,1.6000638008117676
ITA,0.7869570851325989
JAM,4.624346971511841
JOR,-0.0
JPN,-0.4736108332872391
KAZ,-8.38949382186982e-10
KEN,-0.030297807417809963
KGZ,-0.0
KHM,-0.8072098195552826
KOR,6.685793399810791
LAO,2.4516635832583233e-08
LBN,-5.891961640802634e-10
LBR,-0.7619281709194183
LBY,-0.0
LKA,-1.521850645502809e-08
LSO,-0.06204702518880367
LTU,-0.07347145304083824
LUX,5.6296252104459654e-09
LVA,-0.29364481568336487
MAR,-0.0
MDA,-0.3453979641199112
MDG,-0.6868391931056976
MEX,-0.0
MKD,0.29306139051914215
MLI,-0.03731705993413925
MLT,-0.0
MMR,3.441941738128662
MNE,-0.9909132421016693
MNG,-3.379176272133577e-09
MOZ,-0.5157477557659149
MRT,-2.3844572150100163e-10
MUS,-3.315589225394433e-08
MWI,-3.3964567824895653e-09
MYS,-6.026432330941134e-08
NAM,-0.0047507211565971375
NER,-0.0
NGA,2.053197833973286e-09
NIC,-0.5805181264877319
NLD,0.7774246335029602
NOR,3.203666925430298
NPL,1.6388373374938965
NZL,-0.0
OMN,-0.0
PAK,0.1867680698633194
PAN,-1.0027364194393158
PER,-0.6963897347450256
PHL,-0.11308252066373825
PNG,-0.8056034743785858
POL,-0.040193067863583565
PRI,-2.7517170764213006e-09
PRT,-0.11297772079706192
PRY,-0.6874429285526276
PSE,0.0015532593242824078
ROU,-0.4107300937175751
RUS,-8.143055119091969e-10
RWA,1.4384679225543096e-08
SAU,-0.0
SDN,-0.08646241202950478
SEN,0.8766824901103973
SLB,-1.3318716287612915
SLE,-0.3628302663564682
SLV,7.5
SOM,8.685226982052541e-10
SRB,-0.2917206585407257
SSD,-0.2869691550731659
STP,1.3228125261832702e-09
SUR,-0.13258541375398636
SVK,-0.4101209193468094
SVN,-0.27246034145355225
SWE,3.0757170915603638
SWZ,-2.0683636137164285e-08
SYR,0.3006358742713928
TCD,-0.08729970082640648
TGO,-0.30542606115341187
THA,-1.1125458776461983e-08
TJK,-0.0
TKM,-0.0
TLS,-0.22256753593683243
TTO,-1.2474494770486899e-08
TUN,2.0824304819107056
TUR,1.0128026008605957
TWN,-0.4670325368642807
TZA,-0.4092165529727936
UGA,-8.615277380386033e-09
UKR,0.16081880778074265
URY,-0.3856174498796463
USA,-0.18538376688957214
UZB,-0.0
VEN,-0.31292054057121277
VNM,7.364357948303223
VUT,-0.19533443450927734
YEM,-0.0
ZAF,-0.0
ZMB,-0.19078484922647476
ZWE,1.3806482553482056
