crop,country,correction_bnusd_per_mha
alfalfa,AFG,-0.4586298167705536
alfalfa,AGO,-0.9378792941570282
alfalfa,ALB,0.03642889857292175
alfalfa,ARE,0.46947532892227173
alfalfa,ARG,-0.4036872982978821
alfalfa,ARM,-0.0
alfalfa,ATG,-7.5
alfalfa,AUS,0.6370049715042114
alfalfa,AUT,-0.7290395796298981
alfalfa,AZE,0.8766147792339325
alfalfa,BDI,-0.900952011346817
alfalfa,BEL,-0.05907796137034893
alfalfa,BEN,0.6405256688594818
alfalfa,BFA,-0.0
alfalfa,BGD,1.4192121028900146
alfalfa,BGR,0.40581999719142914
alfalfa,BHS,-4.101891279220581
alfalfa,BIH,4.0556016862392426
alfalfa,BLR,-2.0953875109553337
alfalfa,BLZ,-0.010105629451572895
alfalfa,BOL,-0.36369937658309937
alfalfa,BRA,-0.6524094343185425
alfalfa,BRB,2.4009432792663574
alfalfa,BRN,1.4291267395019531
alfalfa,BTN,-0.25575974583625793
alfalfa,BWA,-7.5
alfalfa,CAF,-0.9742975533008575
alfalfa,CAN,-0.5397197902202606
alfalfa,CHE,0.4997544586658478
alfalfa,CHL,-0.8735662996768951
alfalfa,CHN,0.1053803563117981
alfalfa,CIV,7.5
alfalfa,CMR,0.6415953040122986
alfalfa,COD,-0.10757382959127426
alfalfa,COG,-0.09945236518979073
alfalfa,COL,-0.9093743562698364
alfalfa,COM,-0.863983690738678
alfalfa,CPV,-7.5
alfalfa,CRI,-0.22407843172550201
alfalfa,CUB,-0.2861141711473465
alfalfa,CYP,3.296471357345581
alfalfa,CZE,0.10445192456245422
alfalfa,DEU,0.06634337268769741
alfalfa,DJI,-1.8397228717803955
alfalfa,DNK,7.058481931686401
alfalfa,DOM,-0.7030644118785858
alfalfa,DZA,-0.0
alfalfa,ECU,-0.07093389332294464
alfalfa,EGY,2.2819693088531494
alfalfa,ERI,-0.9111414551734924
alfalfa,ESP,-1.0390474796295166
alfalfa,EST,-0.0
alfalfa,ETH,-0.8379373252391815
alfalfa,FIN,-0.0
alfalfa,FJI,-0.32567504048347473
alfalfa,FRA,-0.3107704669237137
alfalfa,GAB,-0.8202077150344849
alfalfa,GBR,0.17193924635648727
alfalfa,GEO,-0.5345033407211304
alfalfa,GHA,-0.907480925321579
alfalfa,GIN,-0.04144765331875533
alfalfa,GMB,-7.5
alfalfa,GNB,-7.5
alfalfa,GNQ,-0.7620932459831238
alfalfa,GRC,-0.5367157459259033
alfalfa,GRD,0.3333747386932373
alfalfa,GTM,-0.4861767143011093
alfalfa,GUF,-2.7332428693771362
alfalfa,GUY,-0.7916780114173889
alfalfa,HND,-0.34378427267074585
alfalfa,HRV,-3.8864426612854004
alfalfa,HTI,-0.8184686303138733
alfalfa,HUN,-0.37131882458925247
alfalfa,IDN,-0.14206960052251816
alfalfa,IND,-0.36303718388080597
alfalfa,IRL,-0.5063982009887695
alfalfa,IRN,-1.4752857685089111
alfalfa,IRQ,1.739349365234375
alfalfa,ISL,-0.7601445019245148
alfalfa,ISR,1.4936355352401733
alfalfa,ITA,0.2910355031490326
alfalfa,JAM,1.9584813117980957
alfalfa,JOR,1.1550467014312744
alfalfa,JPN,0.058791205286979675
alfalfa,KAZ,-0.5768600106239319
alfalfa,KEN,-0.16943025588989258
alfalfa,KGZ,-0.8171935379505157
alfalfa,KHM,-0.8226505815982819
alfalfa,KOR,-0.007593678310513496
alfalfa,LAO,3.5112252831459045
alfalfa,LBN,2.268508717417717
alfalfa,LBR,-0.9224685728549957
alfalfa,LBY,-1.7812479138374329
alfalfa,LKA,-0.6691132485866547
alfalfa,LSO,-0.9040074646472931
alfalfa,LTU,0.40700384974479675
alfalfa,LUX,-0.31373557448387146
alfalfa,LVA,-0.5086079984903336
alfalfa,MAR,1.883331298828125
alfalfa,MDA,0.2783289849758148
alfalfa,MDG,-0.26456888020038605
alfalfa,MEX,-0.36811500787734985
alfalfa,MKD,0.383839875459671
alfalfa,MLI,-7.5
alfalfa,MLT,-7.5
alfalfa,MMR,4.434362888336182
alfalfa,MNE,2.368959069252014
alfalfa,MNG,-0.8241232335567474
alfalfa,MOZ,-0.8640983402729034
alfalfa,MRT,-1.2122275829315186
alfalfa,MUS,-0.8018176555633545
alfalfa,MWI,-0.453051894903183
alfalfa,MYS,-0.5237643718719482
alfalfa,NAM,-7.5
alfalfa,NER,-0.07126183062791824
alfalfa,NGA,-0.7639893889427185
alfalfa,NIC,-1.8587202429771423
alfalfa,NLD,7.5
alfalfa,NOR,-0.0
alfalfa,NPL,-0.27248843014240265
alfalfa,NZL,-0.2725416570901871
alfalfa,OMN,-0.0
alfalfa,PAK,2.760331630706787
alfalfa,PAN,-0.09564555063843727
alfalfa,PER,-0.9115424454212189
alfalfa,PHL,-0.07479393109679222
alfalfa,PNG,-0.18701515346765518
alfalfa,POL,-0.4525585323572159
alfalfa,PRI,-0.17493977397680283
alfalfa,PRT,2.501689314842224
alfalfa,PRY,-0.2994462549686432
alfalfa,PSE,0.717669665813446
alfalfa,ROU,0.14844146370887756
alfalfa,RUS,-0.3758166432380676
alfalfa,RWA,-0.22617708891630173
alfalfa,SAU,-0.5729140043258667
alfalfa,SDN,-0.7287024259567261
alfalfa,SEN,-0.0
alfalfa,SLB,-0.6204792261123657
alfalfa,SLE,-0.49844561517238617
alfalfa,SLV,1.1197744607925415
alfalfa,SOM,-1.1188286542892456
alfalfa,SRB,0.19466527178883553
alfalfa,SSD,-0.8652264773845673
alfalfa,STP,-0.8612958788871765
alfalfa,SUR,-0.7848918437957764
alfalfa,SVK,0.22093138471245766
alfalfa,SVN,0.25825441256165504
alfalfa,SWE,-0.0
alfalfa,SWZ,-0.23123173415660858
alfalfa,SYR,-0.0
alfalfa,TCD,-0.9327170252799988
alfalfa,TGO,-0.03396269865334034
alfalfa,THA,-0.6562694311141968
alfalfa,TJK,-0.8728086054325104
alfalfa,TKM,-0.8431813716888428
alfalfa,TLS,-0.038952913135290146
alfalfa,TTO,-0.7212982177734375
alfalfa,TUN,0.354721263051033
alfalfa,TUR,3.5391762256622314
alfalfa,TWN,1.2586788535118103
alfalfa,TZA,-0.6816825568675995
alfalfa,UGA,-0.23317676782608032
alfalfa,UKR,-0.33742478489875793
alfalfa,URY,-0.6431969702243805
alfalfa,USA,-0.5276875495910645
alfalfa,UZB,-1.829504132270813
alfalfa,VEN,-0.842523068189621
alfalfa,VNM,1.0450471639633179
alfalfa,VUT,-0.10068036615848541
alfalfa,YEM,-0.8437278568744659
alfalfa,ZAF,-0.4751753658056259
alfalfa,ZMB,-0.9233618974685669
