food,multiplier,net_slack_mt,consumption_mt
apple,1.0277006790054173,-2.78315222915262,100.47234685504736
banana,1.0,0.0,64.14738480940287
barley-hulled,1.0,0.0,2.5509975362103887
buckwheat,0.5030478297037378,2.4533923539977422,5.21470280534254
cabbage,0.9431853089649328,1.6756320460990537,233.59099269544822
carrot,1.0016852353921417,-0.20965726487338543,124.40829681778268
cassava,1.0,0.0,156.39039812317787
chickpea,0.7013068386583389,3.1081793928753996,11.873146842083997
citrus,1.071988852299826,-9.347327664494514,129.84409899415914
cocoa-powder,0.8572973977898771,0.5167221748270094,5.29527817323833
coconut,1.0,0.0,7.4685584381240915
coconut-oil,1.0,0.0,0.8683887740007776
coffee-green,0.8236895033796742,1.5566214262798894,11.707580878341105
cottonseed-oil,1.0,0.0,3.125593973028117
cowpea,1.0,0.0,8.023896933055994
dairy,1.1191858501197203,-83.19951270055026,698.0653543770313
dairy-buffalo,1.1373173696305423,-16.630460642656544,121.1096650584077
dry-pea,1.0,0.0,6.17437933254223
eggs,1.0,0.0,82.1042355971731
flour-white,1.0,0.0,275.2358510554768
flour-wholemeal,1.0,0.0,38.87509628526459
foxtail-millet,1.0,0.0,3.234954914529226
gram,0.7013068386583389,3.1081793928753996,11.873146842083997
groundnut,1.0,0.0,20.996472433620966
groundnut-oil,1.0,0.0,2.783429691281526
maize,1.0,0.0,64.77057215915829
maize-whole,1.0,0.0,20.808036830817628
mango,0.791999707460336,9.993391324169352,60.086735317769126
meat-cattle,0.9047805313329553,2.308293239795603,48.49412526166998
meat-chicken,0.9400750798671749,0.8225271787960082,78.7311947500566
meat-pig,1.0184832063942477,-1.3977279365062714,75.62150779971125
meat-sheep,1.0872487692629826,-0.8913660799153149,10.21637425312656
oat,1.0,0.0,1.1316055530789981
olive-oil,1.2993482134952907,-1.1353530548512936,3.7927503945807075
onion,0.9422053646031708,2.3229293928015977,283.1156059023924
palm-oil,0.5,36.668454889630084,21.10606127652136
pearl-millet,1.0,0.0,3.234954914529226
phaseolus-bean,1.0,0.0,21.57145358827256
pigeon-pea,1.0,0.0,0.6679289132182475
plantain,0.8522925416500884,2.5951511422426847,25.232399110223923
potato,1.0,0.0,225.22097323380876
rapeseed-oil,1.0,0.0,10.001032957413827
rendered-fat,1.0,0.0,7.44342613070603
rice-brown,1.0,0.0,35.70415660064464
rice-white,1.0,0.0,340.82733609573916
rye,1.0,0.0,0.809679446935661
sesame-oil,0.9245857891657536,0.026807737649505725,1.0020909534878228
sesame-seed,1.0,0.0,2.9894916711275528
sorghum,1.0,0.0,11.638505917195289
soy,1.0,0.0,11.041815498637334
soybean-oil,1.0,0.0,25.179107923099764
sugar,1.0,0.0,137.2949263714254
sunflower-oil,1.0,0.0,11.965806547706507
sunflower-seed,1.0,0.0,4.64019518993814
sweet-potato,1.0,0.0,44.703510555929824
tea-dried,0.9348032603512578,0.10675713016826194,6.6737521339482555
tomato,1.0299931357099341,-3.7889177799224854,126.32616397849779
watermelon,1.146641846873216,-8.585964664816856,58.5505764411173
yam,0.8752773402354275,2.726976831188267,34.66991134672003
