country,correction_bnusd_per_mha
AFG,-5.53828857774441e-12
AGO,-0.38175541162490845
ALB,-0.17037621140480042
ARE,-0.0
ARG,-0.18468112498521805
ARM,-0.0
ATG,-0.0
AUS,-0.042106352746486664
AUT,9.24111176470177e-10
AZE,0.8761192858219147
BDI,-0.49372757971286774
BEL,0.07386160641908646
BEN,2.7125303745269775
BFA,1.2582663297653198
BGD,5.080349445343018
BGR,-0.2678891569375992
BHS,-0.03269971162080765
BIH,-0.4443233609199524
BLR,-0.0004687602195190266
BLZ,-0.7399452030658722
BOL,-0.6221835613250732
BRA,-0.5204504728317261
BRB,0.8319349586963654
BRN,7.123982906341553
BTN,-0.3241857886314392
BWA,-0.0
CAF,-0.44763270020484924
CAN,-0.2152065932750702
CHE,-0.0
CHL,-0.04035540670156479
CHN,-5.13554931913518e-09
CIV,-0.521591454744339
CMR,2.565816104412079
COD,-0.7531084418296814
COG,-0.8099571466445923
COL,-0.7618195116519928
COM,7.527132250828572e-10
CPV,-0.0
CRI,-0.04483989253640175
CUB,-0.17072640359401703
CYP,0.27596408128738403
CZE,-0.12375297397375107
DEU,-0.24095746874809265
DJI,-0.0
DNK,1.7347260117530823
DOM,-1.9360668623846777e-08
DZA,-2.098951901174928e-09
ECU,-0.1918189972639084
EGY,-0.0
ERI,-0.04836295545101166
ESP,-0.02170534525066614
EST,-0.2668096274137497
ETH,-1.9732169675990008e-08
FIN,1.511911690235138
FJI,-0.867033839225769
FRA,-0.0
GAB,-0.8216103613376617
GBR,7.555318148888546e-09
GEO,-0.20096751302480698
GHA,-0.5436393022537231
GIN,-0.08212844282388687
GMB,1.1078823804855347
GNB,1.0304555892944336
GNQ,-0.7109651267528534
GRC,-0.1500048041343689
GRD,0.5924897193908691
GTM,-2.1906982006214548e-08
GUF,-0.9834447503089905
GUY,-1.1352514028549194
HND,-0.6275273263454437
HRV,-0.12284437566995621
HTI,-0.3086954206228256
HUN,-0.4085644632577896
IDN,-0.562181144952774
IND,0.20101960003376007
IRL,-0.0
IRN,-0.0
IRQ,-0.0
ISL,-0.07911739125847816
ISR,0.6382408738136292
ITA,0.4246698021888733
JAM,3.4215997457504272
JOR,-0.0
JPN,-0.4736108332872391
KAZ,-8.38949382186982e-10
KEN,-0.030297807417809963
KGZ,-1.2954760597594372e-09
KHM,-0.3938673585653305
KOR,2.7892472743988037
LAO,-0.24070262163877487
LBN,0.467947393655777
LBR,-0.7619281709194183
LBY,-5.191540808358042e-10
LKA,-0.39775988459587097
LSO,-0.4817151427268982
LTU,-0.0
LUX,0.015136218629777431
LVA,-0.29364481568336487
MAR,-0.0
MDA,-0.3453979641199112
MDG,-0.6868391931056976
MEX,-0.06847359240055084
MKD,-0.25259096920490265
MLI,-0.0373170617967844
MLT,-0.0
MMR,2.4821358919143677
MNE,-0.21871288865804672
MNG,-0.03364395163953304
MOZ,-0.5180792808532715
MRT,-0.03435819037258625
MUS,-0.055870894342660904
MWI,-3.3964567824895653e-09
MYS,-0.32288840413093567
NAM,-0.0047507211565971375
NER,-0.0
NGA,-1.7690345188725587e-08
NIC,-0.5805181860923767
NLD,0.8321638405323029
NOR,1.2513580918312073
NPL,1.9283148646354675
NZL,-0.0
OMN,-0.0
PAK,0.46909452974796295
PAN,-0.21013690531253815
PER,-0.696389764547348
PHL,-0.11308252066373825
PNG,-0.8056034743785858
POL,0.005282470490783453
PRI,-0.6614540815353394
PRT,-0.16003897041082382
PRY,-0.6874429285526276
PSE,0.6021475195884705
ROU,-0.4107300937175751
RUS,-3.199398412867538e-09
RWA,-0.2595715671777725
SAU,-0.0
SDN,-0.05267111957073212
SEN,0.34295420348644257
SLB,-0.02471280749887228
SLE,-0.3628302663564682
SLV,3.3003079891204834
SOM,-0.057322245091199875
SRB,-0.2870781123638153
SSD,-0.2869691550731659
STP,9.5984786785408e-10
SUR,-0.1325855739414692
SVK,-0.4101209193468094
SVN,-0.09065524861216545
SWE,1.3269112706184387
SWZ,-2.0683636137164285e-08
SYR,0.1281168907880783
TCD,-0.08729971572756767
TGO,-0.30542606115341187
THA,1.2181250674814237e-08
TJK,-0.0
TKM,-0.0
TLS,-0.35952046513557434
TTO,-1.2474494770486899e-08
TUN,0.8142639398574829
TUR,0.9573800265789032
TWN,-0.3514615297317505
TZA,-0.40921658277511597
UGA,-1.0052538912397324e-08
UKR,-0.029962582513689995
URY,-0.3856174945831299
USA,-0.21329542994499207
UZB,-0.0
VEN,-0.6770022809505463
VNM,5.185376882553101
VUT,-0.19533443450927734
YEM,2.167515278372889e-09
ZAF,-0.00288819067645818
ZMB,-0.39796166121959686
ZWE,0.46621377021074295
